Author,Comment,Likes,Replies,Date
"@arjanadhikari9455","Mangsir 4 ma afno chhora chhori lai yesari bidesh jana naparne gari vote garnus.",0,0,10/30/2022
"@arjanadhikari9455","Mangsir 4 ma afno chhora chhori lai yesari bidesh jana naparne gari vote garnus.",0,0,10/30/2022
"@nepalipoetry","Big fan😇 Congratulations 🎉👏 for the 90k...😁💕",0,0,10/30/2022
"@princesshrs19","Dont support illegal migration.",0,0,10/30/2022
"@ishanihada3285","The takeaway from this video is <b>DO NOT USE ILLEGAL MEANS TO GO ABROAD</b>",1,0,10/30/2022
"@sandeepbrilly9540","One  my subscriber  for you  affert  yestai  video banaudai  janu",0,0,10/30/2022
"@primetimenepal","keep going.. reveal all the hidden truth.. Thank you..",0,0,10/30/2022
"@nepalishortshoni715","Indian haru cycle ma tarkari bechera Afno Nepal ma baseko kharcha samma katera 20000+ Indian rupees saving garera Nepal bata India pathauxan... Ani hami Nepali lai jahelay maya bidesh KO ra Nepal ma kei hunna bhanni Soch... Garo cha🙏🙌",2,1,10/30/2022
"@beardedthunder4284","Dang bata nai holaan sabai vanda badhi USA jaani haru … harek ghar bata ek jana hunxan",0,0,10/30/2022
"@surendrapun219","Bro your content are too good..Hope to see nxt vid soon.",0,0,10/30/2022
"@kailashrai9536","And the government is still worried about how to win the Election 😵‍💫😵‍💫",1,0,10/30/2022
"@henies_sxftie7525","great job bro",0,0,10/30/2022
